chrom	start	end	driver_score	direction
chr1	4769950	4770119	0.8022	-0.1073
chr1	8410649	8411011	0.7658	0.24
chr1	9983016	9983707	0.904	-0.7838
chr1	10721118	10721252	0.8988	0.0782
chr1	11034961	11035247	0.9498	-0.342
chr1	11145742	11145907	0.4299	-0.0768
chr1	11952298	11952596	0.4568	-0.2076
chr1	12826702	12826895	0.8888	0.1401
chr1	13050352	13050570	0.0502	-0.1234
chr1	13134291	13134852	0.0174	-0.2393
chr1	13423719	13423854	0.0166	0.0691
chr1	13839982	13840353	0.0185	-0.0881
chr1	14156390	14156577	0.0423	0.1071
chr1	14924843	14925268	0.9077	-0.4619
chr1	15896518	15896805	0.9135	-0.397
chr1	16293998	16294174	0.8847	0.1401
chr1	16649489	16649939	0.8787	-0.2428
chr1	17726899	17727810	0.9672	-0.2321
chr1	19206287	19206436	0.9293	-0.0912
chr1	19210303	19210472	0.9743	0.0772
chr1	19895940	19896133	0.9894	-0.3485
chr1	20691108	20691837	0.9583	0.9105
chr1	20811428	20811662	0.9352	0.0894
chr1	20819910	20820533	0.9846	0.0
chr1	20829489	20829678	0.9385	0.1341
chr1	21008499	21009517	0.9781	-0.1148
chr1	21014456	21015161	0.9532	0.0
chr1	21020962	21021211	0.9203	-0.3688
chr1	21344288	21344725	0.9904	-0.2386
chr1	24612688	24612815	0.0297	0.3801
chr1	24613048	24613184	0.0603	0.0
chr1	24617164	24617344	0.0938	-0.0883
chr1	30776103	30776729	0.2188	-0.665
chr1	31156871	31157409	0.1865	-0.6319
chr1	33348989	33349984	0.9931	-0.5658
chr1	33531393	33531523	0.9978	0.0704
chr1	34097768	34097988	0.9947	0.2791
chr1	34434734	34435342	0.2249	-0.0691
chr1	35650805	35651247	0.263	0.3772
chr1	35978348	35978513	0.2444	-0.074
chr1	36129010	36129518	0.5112	-0.027
chr1	37272263	37273044	0.4421	-0.2277
chr1	37288838	37289370	0.5242	-0.6057
chr1	37299560	37300652	0.4542	0.0506
chr1	37306556	37306746	0.4633	0.1839
chr1	37307684	37307887	0.5763	0.3507
chr1	37314389	37314620	0.4066	0.1127
chr1	37320524	37320732	0.6005	0.2596
chr1	37331725	37331907	0.7122	0.0746
chr1	37336067	37336666	0.4407	0.1219
chr1	37337460	37337585	0.5401	0.0943
chr1	37341956	37342296	0.4418	0.3491
chr1	37344646	37344790	0.5708	0.089
chr1	37350878	37351161	0.4413	0.1215
chr1	37353344	37353875	0.4367	-0.3309
chr1	37355467	37356282	0.4111	-0.1037
chr1	37356469	37356673	0.7363	0.1095
chr1	37362863	37363117	0.5481	0.259
chr1	37382104	37382337	0.6276	-0.0672
chr1	37383239	37383369	0.4595	-0.0698
chr1	37386535	37386716	0.5268	-0.0912
chr1	37396992	37397218	0.5519	0.2206
chr1	37397697	37397822	0.5966	0.0706
chr1	37401775	37402078	0.4952	-0.289
chr1	37404961	37405555	0.5975	-0.6022
chr1	37419395	37419991	0.5692	-0.5397
chr1	37421007	37421127	0.7161	0.0769
chr1	37421241	37421629	0.4256	0.2645
chr1	37429374	37430728	0.4463	0.1147
chr1	37442637	37442815	0.7317	0.0775
chr1	37448312	37448598	0.5812	-0.2177
chr1	37496829	37497135	0.4987	-0.2236
chr1	37512126	37512672	0.4882	0.0684
chr1	37527808	37527951	0.3945	0.0833
chr1	37534471	37534800	0.4436	-0.0912
chr1	37540615	37541576	0.5669	0.0642
chr1	37551948	37552266	0.497	-0.12
chr1	37558196	37558361	0.6725	0.0789
chr1	37585740	37586459	0.6244	-0.2291
chr1	37595529	37595719	0.5123	-0.1104
chr1	37603262	37603712	0.509	-0.3276
chr1	37631391	37631850	0.4779	-0.3346
chr1	37631984	37632573	0.4811	-0.072
chr1	37632579	37632712	0.6046	-0.0735
chr1	37635852	37636398	0.462	-0.3037
chr1	37639080	37639610	0.4371	-0.0452
chr1	37645838	37645987	0.4642	0.0813
chr1	37647522	37647661	0.5974	0.0859
chr1	37678180	37678836	0.424	-0.1661
chr1	37696916	37697289	0.4147	0.4671
chr1	37709626	37710009	0.4197	-0.2808
chr1	37711655	37711914	0.4838	-0.2407
chr1	37712425	37712676	0.5364	-0.4466
chr1	37719434	37720424	0.4967	-0.1279
chr1	37744980	37745111	0.6057	0.0917
chr1	37793417	37794126	0.5283	-0.8121
chr1	37799615	37799756	0.6523	0.0824
chr1	37800422	37800604	0.5494	-0.2863
chr1	37864435	37865623	0.6559	0.2914
chr1	37871490	37872923	0.435	0.042
